year,ISO_code,countries,region,hf_score,hf_rank,Happiness.Rank,Happiness.Score,GNI_capita
2017,ALB,Albania,Eastern Europe,7.84,38,109,4.644000053,13071.095441848898
2017,DZA,Algeria,Middle East & North Africa,4.99,155,53,5.872000217,11371.701571086202
2017,AGO,Angola,Sub-Saharan Africa,5.4,151,140,3.7950000760000004,6861.58057100229
2017,ARG,Argentina,Latin America & the Caribbean,6.86,77,24,6.598999977,22962.352260915
2017,ARM,Armenia,Caucasus & Central Asia,7.42,54,121,4.375999928,12543.1901631056
2017,AUS,Australia,Oceania,8.62,5,10,7.28399992,47575.818054731906
2017,AUT,Austria,Western Europe,8.48,13,13,7.006000042,54151.5526961716
2017,AZE,Azerbaijan,Caucasus & Central Asia,6.22,121,85,5.234000206,13513.397268115401
2017,BHR,Bahrain,Middle East & North Africa,6.63,95,41,6.086999893,44966.495440055995
2017,BGD,Bangladesh,South Asia,5.77,138,110,4.607999802,4339.89283530368
2017,BLR,Belarus,Eastern Europe,6.65,92,67,5.568999767,17584.766223036
2017,BEL,Belgium,Western Europe,8.29,23,17,6.890999794,51319.3657175499
2017,BLZ,Belize,Latin America & the Caribbean,6.95,68,50,5.9559998510000005,6507.26211509562
2017,BEN,Benin,Sub-Saharan Africa,6.77,85,143,3.657000065,3010.8996211975104
2017,BTN,Bhutan,South Asia,6.53,105,97,5.011000156000001,10174.641371374399
2017,BOL,Bolivia,Latin America & the Caribbean,6.61,97,58,5.822999954,8185.54211585471
2017,BIH,Bosnia and Herzegovina,Eastern Europe,7.37,55,90,5.18200016,13738.5246827048
2017,BWA,Botswana,Sub-Saharan Africa,7.17,60,142,3.766000032,15981.344644602901
2017,BRA,Brazil,Latin America & the Caribbean,6.48,109,22,6.635000229,14248.3106158812
2017,BGR,Bulgaria,Eastern Europe,7.79,39,105,4.714000225,20852.6034146304
2017,BFA,Burkina Faso,Sub-Saharan Africa,6.73,90,134,4.032000065,1976.75167439707
2017,BDI,Burundi,Sub-Saharan Africa,5.56,145,154,2.904999971,772.4012901488519
2017,KHM,Cambodia,South Asia,7.13,63,129,4.168000221000001,3684.4594374127705
2017,CMR,Cameroon,Sub-Saharan Africa,5.64,143,107,4.695000172,3487.38066128567
2017,CAN,Canada,North America,8.65,4,7,7.315999985,48068.856026805704
